CUSTOMERNAME,PRICEEACH,SALES,ORDERDATE,STATUS,PRODUCTLINE,QUANTITYORDERED,CITY,COUNTRY
Classic Legends Inc.,100,7381.16,04-04-03 0:00,Shipped,Classic Cars,46,NYC,USA
Muscle Machine Inc,100,7146.9,06-03-03 0:00,Shipped,Classic Cars,45,NYC,USA
Suominen Souveniers,100,5938.53,08-01-03 0:00,Shipped,Classic Cars,39,Espoo,Finland
"Oulu Toy Supplies, Inc.",100,7110.91,9/21/2003 0:00,Shipped,Classic Cars,43,Oulu,Finland
"Dragon Souveniers, Ltd.",100,5032.95,10/22/2003 0:00,Shipped,Classic Cars,29,Singapore,Singapore
L'ordine Souveniers,100,3667.6,11-06-03 0:00,Shipped,Classic Cars,20,Reggio Emilia,Italy
"Iberia Gift Imports, Corp.",100,7381.16,11/14/2003 0:00,Shipped,Classic Cars,46,Sevilla,Spain
Mini Classics,100,5128.11,11/25/2003 0:00,Shipped,Classic Cars,27,White Plains,USA
Diecast Collectables,100,7060.24,12-09-03 0:00,Shipped,Classic Cars,44,Boston,USA
Signal Collectibles Ltd.,100,8448.64,02-10-04 0:00,Shipped,Classic Cars,43,Brisbane,USA
"Blauer See Auto, Co.",100,7300.51,3/15/2004 0:00,Shipped,Classic Cars,49,Frankfurt,Germany
Euro Shopping Channel,100,6549.2,05-05-04 0:00,Shipped,Classic Cars,40,Madrid,Spain
Handji Gifts& Co,100,5697.9,6/15/2004 0:00,Shipped,Classic Cars,30,Singapore,Singapore
Mini Gifts Distributors Ltd.,100,9169,7/20/2004 0:00,Shipped,Classic Cars,50,San Rafael,USA
Mini Gifts Distributors Ltd.,100,3238.63,8/20/2004 0:00,Shipped,Classic Cars,23,San Rafael,USA
Land of Toys Inc.,100,4554.94,09-08-04 0:00,Shipped,Classic Cars,26,NYC,USA
Marta's Replicas Co.,100,3934.44,10/13/2004 0:00,Shipped,Classic Cars,27,Cambridge,USA
Heintze Collectables,100,5776.26,10/22/2004 0:00,Shipped,Classic Cars,42,Aaarhus,Denmark
Vitachrome Inc.,100,7207.45,11-05-04 0:00,Shipped,Classic Cars,47,NYC,USA
"La Corne D'abondance, Co.",100,7460.74,11/20/2004 0:00,Shipped,Classic Cars,49,Paris,France
Muscle Machine Inc,100,6719.54,12-01-04 0:00,Shipped,Classic Cars,38,NYC,USA
Euro Shopping Channel,100,2428,12-10-04 0:00,Shipped,Classic Cars,20,Madrid,Spain
Mini Gifts Distributors Ltd.,100,2602.25,1/23/2005 0:00,Shipped,Classic Cars,25,San Rafael,USA
Mini Gifts Distributors Ltd.,88,2200,2/17/2005 0:00,Shipped,Classic Cars,25,San Rafael,USA
Euro Shopping Channel,100,6712.93,05-03-05 0:00,Shipped,Classic Cars,41,Madrid,Spain
La Rochelle Gifts,100,5318.04,5/31/2005 0:00,In Process,Classic Cars,28,Nantes,France
Online Diecast Creations Co.,67.8,3390,01-06-03 0:00,Shipped,Vintage Cars,50,Nashua,USA
"AV Stores, Co.",50.25,1608,3/18/2003 0:00,Shipped,Vintage Cars,32,Manchester,UK
Signal Gift Stores,53.88,2262.96,5/21/2003 0:00,Shipped,Vintage Cars,42,Las Vegas,USA
Signal Collectibles Ltd.,62.36,1496.64,09-12-03 0:00,Shipped,Vintage Cars,24,Brisbane,USA
Corporate Gift Ideas Co.,69.62,1879.74,10/18/2003 0:00,Shipped,Vintage Cars,27,San Francisco,USA
Rovelli Gifts,57.51,1495.26,11-05-03 0:00,Shipped,Vintage Cars,26,Bergamo,Italy
Mini Gifts Distributors Ltd.,61.15,2323.7,11-12-03 0:00,Shipped,Vintage Cars,38,San Rafael,USA
"Australian Collectables, Ltd",59.33,2491.86,11/21/2003 0:00,Shipped,Vintage Cars,42,Glen Waverly,Australia
Muscle Machine Inc,71.44,1643.12,12-02-03 0:00,Shipped,Vintage Cars,23,NYC,USA
"Corrida Auto Replicas, Ltd",62.96,1322.16,1/26/2004 0:00,Shipped,Vintage Cars,21,Madrid,Spain
"Saveley & Henriot, Co.",50.85,1423.8,03-02-04 0:00,Shipped,Vintage Cars,28,Lyon,France
Mini Caravy,72.65,2397.45,4/13/2004 0:00,Shipped,Vintage Cars,33,Strasbourg,France
Amica Models & Co.,62.96,1574,8/17/2004 0:00,Shipped,Vintage Cars,25,Torino,Italy
Handji Gifts& Co,61.75,1729,09-01-04 0:00,Shipped,Vintage Cars,28,Singapore,Singapore
"Iberia Gift Imports, Corp.",49.04,2255.84,10-06-04 0:00,Shipped,Vintage Cars,46,Sevilla,Spain
Mini Gifts Distributors Ltd.,61.15,1834.5,10/21/2004 0:00,Shipped,Vintage Cars,30,San Rafael,USA
"AV Stores, Co.",84.25,3201.5,11/17/2004 0:00,Shipped,Vintage Cars,38,Manchester,UK
Marseille Mini Autos,56.91,2276.4,11/25/2004 0:00,Shipped,Vintage Cars,40,Marseille,France
Toys4GrownUps.com,100,8884.8,01-12-05 0:00,Resolved,Vintage Cars,45,Pasadena,USA
Euro Shopping Channel,49.3,1331.1,02-10-05 0:00,Shipped,Vintage Cars,27,Madrid,Spain
The Sharp Gifts Warehouse,72.65,3051.3,4/22/2005 0:00,On Hold,Vintage Cars,42,San Jose,USA
Souveniers And Things Co.,63.57,2288.52,5/29/2005 0:00,In Process,Vintage Cars,36,Chatswood,Australia
Euro Shopping Channel,100,3772.61,1/31/2003 0:00,Shipped,Trucks and Buses,29,Madrid,Spain
"La Corne D'abondance, Co.",100,4164.42,04-01-03 0:00,Shipped,Trucks and Buses,39,Paris,France
Muscle Machine Inc,100,6295.95,06-03-03 0:00,Shipped,Trucks and Buses,45,NYC,USA
Suominen Souveniers,100,6287.66,08-01-03 0:00,Shipped,Trucks and Buses,47,Espoo,Finland
"Oulu Toy Supplies, Inc.",100,5412.54,9/21/2003 0:00,Shipped,Trucks and Buses,49,Oulu,Finland
"Dragon Souveniers, Ltd.",100,5984.14,10/22/2003 0:00,Shipped,Trucks and Buses,46,Singapore,Singapore
"Stylish Desk Decors, Co.",100,5891.04,11-06-03 0:00,Shipped,Trucks and Buses,48,London,UK
"Iberia Gift Imports, Corp.",100,5984.14,11/14/2003 0:00,Shipped,Trucks and Buses,46,Sevilla,Spain
Mini Classics,100,3608.15,11/25/2003 0:00,Shipped,Trucks and Buses,35,White Plains,USA
Diecast Collectables,100,5752.54,12-09-03 0:00,Shipped,Trucks and Buses,43,Boston,USA
Mini Gifts Distributors Ltd.,100,3765.32,03-11-04 0:00,Shipped,Trucks and Buses,26,San Rafael,USA
Euro Shopping Channel,98.18,2159.96,05-05-04 0:00,Shipped,Trucks and Buses,22,Madrid,Spain
Handji Gifts& Co,99.41,3379.94,6/15/2004 0:00,Shipped,Trucks and Buses,34,Singapore,Singapore
Mini Gifts Distributors Ltd.,100,5093.5,7/20/2004 0:00,Shipped,Trucks and Buses,50,San Rafael,USA
Diecast Classics Inc.,100,5773.44,8/19/2004 0:00,Shipped,Trucks and Buses,48,Allentown,USA
Land of Toys Inc.,100,4528.86,09-08-04 0:00,Shipped,Trucks and Buses,41,NYC,USA
Marta's Replicas Co.,100,4816.08,10/13/2004 0:00,Shipped,Trucks and Buses,36,Cambridge,USA
Canadian Gift Exchange Network,100,3416.78,10/22/2004 0:00,Shipped,Trucks and Buses,29,Vancouver,Canada
Vitachrome Inc.,37.48,1236.84,11-05-04 0:00,Shipped,Trucks and Buses,33,NYC,USA
"Volvo Model Replicas, Co",100,5814.86,11/19/2004 0:00,On Hold,Trucks and Buses,46,Lule,Sweden
Muscle Machine Inc,100,5223.48,12-01-04 0:00,Shipped,Trucks and Buses,38,NYC,USA
Euro Shopping Channel,36.42,728.4,12-10-04 0:00,Shipped,Trucks and Buses,20,Madrid,Spain
"Anna's Decorations, Ltd",100,3949,1/20/2005 0:00,Shipped,Trucks and Buses,22,North Sydney,Australia
Euro Shopping Channel,100,3843.99,2/22/2005 0:00,Shipped,Trucks and Buses,27,Madrid,Spain
Euro Shopping Channel,98.18,5498.08,05-03-05 0:00,Shipped,Trucks and Buses,56,Madrid,Spain
La Rochelle Gifts,99.41,3777.58,5/31/2005 0:00,In Process,Trucks and Buses,38,Nantes,France
"Blauer See Auto, Co.",100,3782,01-09-03 0:00,Shipped,Vintage Cars,25,Frankfurt,Germany
"AV Stores, Co.",100,3859.68,3/18/2003 0:00,Shipped,Vintage Cars,33,Manchester,UK
Signal Gift Stores,100,4431.84,5/21/2003 0:00,Shipped,Vintage Cars,42,Las Vegas,USA
Signal Collectibles Ltd.,100,4950.33,09-12-03 0:00,Shipped,Vintage Cars,33,Brisbane,USA
Corporate Gift Ideas Co.,100,4299.7,10/18/2003 0:00,Shipped,Vintage Cars,38,San Francisco,USA
Rovelli Gifts,100,4492.83,11-05-03 0:00,Shipped,Vintage Cars,31,Bergamo,Italy
Mini Gifts Distributors Ltd.,100,2212,11-12-03 0:00,Shipped,Vintage Cars,20,San Rafael,USA
"Australian Collectables, Ltd",100,4642.88,11/21/2003 0:00,Shipped,Vintage Cars,44,Glen Waverly,Australia
Muscle Machine Inc,100,3206.32,12-02-03 0:00,Shipped,Vintage Cars,26,NYC,USA
"Corrida Auto Replicas, Ltd",100,3604.23,1/26/2004 0:00,Shipped,Vintage Cars,27,Madrid,Spain
"Saveley & Henriot, Co.",100,7017.76,03-02-04 0:00,Shipped,Vintage Cars,46,Lyon,France
Diecast Collectables,100,6154.18,4/26/2004 0:00,Shipped,Vintage Cars,47,Boston,USA
Amica Models & Co.,100,4750.8,8/17/2004 0:00,Shipped,Vintage Cars,37,Torino,Italy
Handji Gifts& Co,100,3822.92,09-01-04 0:00,Shipped,Vintage Cars,31,Singapore,Singapore
Auto Assoc. & Cie.,100,2440.8,10-11-04 0:00,Shipped,Vintage Cars,24,Versailles,France
Mini Gifts Distributors Ltd.,100,4729.36,10/21/2004 0:00,Shipped,Vintage Cars,31,San Rafael,USA
Online Diecast Creations Co.,100,12536.5,11-04-04 0:00,Shipped,Vintage Cars,50,Nashua,USA
"AV Stores, Co.",64.69,2264.15,11/17/2004 0:00,Shipped,Vintage Cars,35,Manchester,UK
Marseille Mini Autos,100,3928.2,11/25/2004 0:00,Shipped,Vintage Cars,30,Marseille,France
Lyon Souveniers,100,3630.22,12-09-04 0:00,Shipped,Vintage Cars,29,Paris,France
Toys4GrownUps.com,100,4196.07,01-12-05 0:00,Resolved,Vintage Cars,27,Pasadena,USA
Euro Shopping Channel,100,4931.6,2/16/2005 0:00,Shipped,Vintage Cars,40,Madrid,Spain
Mini Gifts Distributors Ltd.,98.99,3068.69,03-04-05 0:00,Shipped,Vintage Cars,31,San Rafael,USA
Handji Gifts& Co,100,785.64,4/23/2005 0:00,Shipped,Vintage Cars,6,Singapore,Singapore
Souveniers And Things Co.,100,4977,5/29/2005 0:00,In Process,Vintage Cars,45,Chatswood,Australia
Baane Mini Imports,54.09,1189.98,1/29/2003 0:00,Shipped,Trucks and Buses,22,Stavern,Norway
"La Corne D'abondance, Co.",68.67,3090.15,04-01-03 0:00,Shipped,Trucks and Buses,45,Paris,France
"Corrida Auto Replicas, Ltd",65.02,2795.86,5/28/2003 0:00,Shipped,Trucks and Buses,43,Madrid,Spain
Technics Stores Inc.,61.99,2851.54,7/24/2003 0:00,Shipped,Trucks and Buses,46,Burlingame,USA
"Oulu Toy Supplies, Inc.",69.28,2701.92,9/21/2003 0:00,Shipped,Trucks and Buses,39,Oulu,Finland
"Dragon Souveniers, Ltd.",71.1,2204.1,10/22/2003 0:00,Shipped,Trucks and Buses,31,Singapore,Singapore
"Stylish Desk Decors, Co.",69.28,2840.48,11-06-03 0:00,Shipped,Trucks and Buses,41,London,UK
"Iberia Gift Imports, Corp.",60.16,2647.04,11/14/2003 0:00,Shipped,Trucks and Buses,44,Sevilla,Spain
"Saveley & Henriot, Co.",70.49,3172.05,11/25/2003 0:00,Shipped,Trucks and Buses,45,Lyon,France
Diecast Collectables,69.89,2585.93,12-09-03 0:00,Shipped,Trucks and Buses,37,Boston,USA
Handji Gifts& Co,61.38,2148.3,02-04-04 0:00,Shipped,Trucks and Buses,35,Singapore,Singapore
Mini Gifts Distributors Ltd.,59.55,1667.4,03-11-04 0:00,Shipped,Trucks and Buses,28,San Rafael,USA
Euro Shopping Channel,61.99,1859.7,05-05-04 0:00,Shipped,Trucks and Buses,30,Madrid,Spain
Handji Gifts& Co,49.22,1476.6,6/15/2004 0:00,Shipped,Trucks and Buses,30,Singapore,Singapore
Mini Gifts Distributors Ltd.,69.28,1732,7/20/2004 0:00,Shipped,Trucks and Buses,25,San Rafael,USA
Diecast Classics Inc.,57.73,1674.17,8/19/2004 0:00,Shipped,Trucks and Buses,29,Allentown,USA
Scandinavian Gift Ideas,57.73,1500.98,09-08-04 0:00,Shipped,Trucks and Buses,26,Boras,Sweden
Marta's Replicas Co.,53.48,2192.68,10/13/2004 0:00,Shipped,Trucks and Buses,41,Cambridge,USA
Canadian Gift Exchange Network,52.87,1797.58,10/22/2004 0:00,Shipped,Trucks and Buses,34,Vancouver,Canada
Online Diecast Creations Co.,61.21,2142.35,11-04-04 0:00,Shipped,Trucks and Buses,35,Nashua,USA
"Volvo Model Replicas, Co",61.38,2086.92,11/19/2004 0:00,On Hold,Trucks and Buses,34,Lule,Sweden
"Australian Collectors, Co.",100,6834.5,11/29/2004 0:00,Shipped,Trucks and Buses,50,Melbourne,Australia
Mini Gifts Distributors Ltd.,61.99,2541.59,12-10-04 0:00,Shipped,Trucks and Buses,41,San Rafael,USA
"Anna's Decorations, Ltd",96.86,2130.92,1/20/2005 0:00,Shipped,Trucks and Buses,22,North Sydney,Australia
Corporate Gift Ideas Co.,48.62,1701.7,2/17/2005 0:00,Shipped,Trucks and Buses,35,San Francisco,USA
"Anna's Decorations, Ltd",38.5,1694,03-09-05 0:00,Shipped,Trucks and Buses,44,North Sydney,Australia
Euro Shopping Channel,61.99,2913.53,05-03-05 0:00,Shipped,Trucks and Buses,47,Madrid,Spain
La Rochelle Gifts,49.22,935.18,5/31/2005 0:00,In Process,Trucks and Buses,19,Nantes,France
Rovelli Gifts,90.39,3073.26,2/17/2003 0:00,Shipped,Planes,34,Bergamo,Italy
"Australian Collectors, Co.",71.81,2082.49,4/29/2003 0:00,Shipped,Planes,29,Melbourne,Australia
Euro Shopping Channel,69.27,3394.23,6/27/2003 0:00,Shipped,Planes,49,Madrid,Spain
Toys4GrownUps.com,85.32,2559.6,8/25/2003 0:00,Shipped,Planes,30,Pasadena,USA
Technics Stores Inc.,70.96,1490.16,10/28/2003 0:00,Shipped,Planes,21,Burlingame,USA
Osaka Souveniers Co.,76.88,3844,01-12-04 0:00,Shipped,Planes,50,Osaka,Japan
"Australian Collectors, Co.",100,4724.91,2/20/2004 0:00,Shipped,Planes,47,Melbourne,Australia
"Royal Canadian Collectables, Ltd.",76.03,1824.72,04-02-04 0:00,Shipped,Planes,24,Tsawassen,Canada
The Sharp Gifts Warehouse,98.84,2668.68,05-11-04 0:00,Shipped,Planes,27,San Jose,USA
Gift Depot Inc.,86.17,2843.61,6/28/2004 0:00,Shipped,Planes,33,Bridgewater,USA
La Rochelle Gifts,90.39,3163.65,7/23/2004 0:00,Shipped,Planes,35,Nantes,France
"Norway Gifts By Mail, Co.",71.81,2226.11,8/21/2004 0:00,Shipped,Planes,31,Oslo,Norway
"Clover Collections, Co.",82.79,2069.75,9/16/2004 0:00,Shipped,Planes,25,Dublin,Ireland
Mini Classics,82.79,2235.33,10/15/2004 0:00,Shipped,Planes,27,White Plains,USA
Diecast Classics Inc.,100,3116.43,11-02-04 0:00,Shipped,Planes,31,Allentown,USA
Danish Wholesale Imports,100,4781.7,11-10-04 0:00,Resolved,Planes,45,Kobenhavn,Denmark
"Tokyo Collectables, Ltd",100,2810.7,11/23/2004 0:00,Shipped,Planes,27,Minato-ku,Japan
Gift Ideas Corp.,100,3515.67,12-04-04 0:00,Shipped,Planes,27,Glendale,USA
"Australian Gift Network, Co",69.27,2909.34,02-02-05 0:00,Shipped,Planes,42,South Brisbane,Australia
Euro Shopping Channel,74.77,1570.17,03-01-05 0:00,Resolved,Planes,21,Madrid,Spain
Reims Collectables,76.88,2613.92,3/30/2005 0:00,Shipped,Planes,34,Reims,France
Tekni Collectables Inc.,76.03,3193.26,04-03-05 0:00,On Hold,Planes,42,Newark,USA
L'ordine Souveniers,98.84,1482.6,05-10-05 0:00,Shipped,Planes,15,Reggio Emilia,Italy
Land of Toys Inc.,70.87,2055.23,2/24/2003 0:00,Shipped,Motorcycles,29,NYC,USA
"Australian Collectors, Co.",58.15,2674.9,4/29/2003 0:00,Shipped,Motorcycles,46,Melbourne,Australia
Lyon Souveniers,61.78,1853.4,07-01-03 0:00,Shipped,Motorcycles,30,Paris,France
Toys4GrownUps.com,49.67,1490.1,8/25/2003 0:00,Shipped,Motorcycles,30,Pasadena,USA
Corporate Gift Ideas Co.,51.48,2162.16,10-10-03 0:00,Shipped,Motorcycles,42,San Francisco,USA
Technics Stores Inc.,61.18,2814.28,10/28/2003 0:00,Shipped,Motorcycles,46,Burlingame,USA
Daedalus Designs Imports,64.2,1605,11-11-03 0:00,Shipped,Motorcycles,25,Lille,France
Herkku Gifts,65.42,2093.44,11/18/2003 0:00,Shipped,Motorcycles,32,Bergen,Norway
Mini Wheels Co.,64.81,1944.3,12-01-03 0:00,Shipped,Motorcycles,30,San Francisco,USA
Osaka Souveniers Co.,49.67,1986.8,01-12-04 0:00,Shipped,Motorcycles,40,Osaka,Japan
"Australian Collectors, Co.",60.57,1695.96,2/20/2004 0:00,Shipped,Motorcycles,28,Melbourne,Australia
Motor Mint Distributors Inc.,55.72,1281.56,04-03-04 0:00,Shipped,Motorcycles,23,Philadelphia,USA
Tekni Collectables Inc.,61.18,1774.22,5/18/2004 0:00,Shipped,Motorcycles,29,Newark,USA
Gift Depot Inc.,58.75,1997.5,6/28/2004 0:00,Shipped,Motorcycles,34,Bridgewater,USA
La Rochelle Gifts,63.6,2353.2,7/23/2004 0:00,Shipped,Motorcycles,37,Nantes,France
Marta's Replicas Co.,49.06,981.2,8/27/2004 0:00,Shipped,Motorcycles,20,Cambridge,USA
Atelier graphique,48.46,1550.72,9/27/2004 0:00,Shipped,Motorcycles,32,Nantes,France
Mini Classics,52.09,1771.06,10/15/2004 0:00,Shipped,Motorcycles,34,White Plains,USA
Diecast Classics Inc.,52.7,2213.4,11-02-04 0:00,Shipped,Motorcycles,42,Allentown,USA
Land of Toys Inc.,100,5266.04,11/15/2004 0:00,Shipped,Motorcycles,38,NYC,USA
"Tokyo Collectables, Ltd",62.16,1864.8,11/23/2004 0:00,Shipped,Motorcycles,30,Minato-ku,Japan
Technics Stores Inc.,49.67,1142.41,01-05-05 0:00,Shipped,Motorcycles,23,Burlingame,USA
"Australian Gift Network, Co",53.3,1172.6,02-02-05 0:00,Shipped,Motorcycles,22,South Brisbane,Australia
Scandinavian Gift Ideas,100,6981,03-03-05 0:00,Shipped,Motorcycles,39,Boras,Sweden
Auto Canal Petit,55.72,3064.6,04-07-05 0:00,Shipped,Motorcycles,55,Paris,France
Euro Shopping Channel,61.18,2202.48,5/13/2005 0:00,Disputed,Motorcycles,36,Madrid,Spain
"Blauer See Auto, Co.",100,3773.38,01-09-03 0:00,Shipped,Vintage Cars,26,Frankfurt,Germany
"AV Stores, Co.",100,5074.39,3/18/2003 0:00,Shipped,Vintage Cars,31,Manchester,UK
"Australian Collectors, Co.",100,6483.46,5/21/2003 0:00,Shipped,Vintage Cars,34,Melbourne,Australia
Souveniers And Things Co.,100,7956.46,7/16/2003 0:00,Shipped,Vintage Cars,41,Chatswood,Australia
Signal Collectibles Ltd.,100,4230.62,09-12-03 0:00,Shipped,Vintage Cars,23,Brisbane,USA
Corporate Gift Ideas Co.,100,7209.12,10/18/2003 0:00,Shipped,Vintage Cars,48,San Francisco,USA
Rovelli Gifts,100,3452.68,11-05-03 0:00,Shipped,Vintage Cars,22,Bergamo,Italy
Mini Gifts Distributors Ltd.,100,3047.73,11-12-03 0:00,Shipped,Vintage Cars,21,San Rafael,USA
"Australian Collectables, Ltd",100,3675.32,11/21/2003 0:00,Shipped,Vintage Cars,22,Glen Waverly,Australia
Euro Shopping Channel,100,7492.4,12-03-03 0:00,Shipped,Vintage Cars,40,Madrid,Spain
"Corrida Auto Replicas, Ltd",100,9534.5,1/26/2004 0:00,Shipped,Vintage Cars,50,Madrid,Spain
"Saveley & Henriot, Co.",100,5579.02,03-02-04 0:00,Shipped,Vintage Cars,29,Lyon,France
Euro Shopping Channel,100,5950.34,4/29/2004 0:00,Shipped,Vintage Cars,43,Madrid,Spain
Mini Caravy,100,3726,06-04-04 0:00,Shipped,Vintage Cars,24,Strasbourg,France
Amica Models & Co.,100,4455,8/17/2004 0:00,Shipped,Vintage Cars,22,Torino,Italy
Herkku Gifts,100,8272.34,09-03-04 0:00,Shipped,Vintage Cars,43,Bergen,Norway
Auto Assoc. & Cie.,100,3577.6,10-11-04 0:00,Shipped,Vintage Cars,20,Versailles,France
Mini Gifts Distributors Ltd.,100,3881.25,10/21/2004 0:00,Shipped,Vintage Cars,25,San Rafael,USA
Online Diecast Creations Co.,100,5797.44,11-04-04 0:00,Shipped,Vintage Cars,36,Nashua,USA
"AV Stores, Co.",52.67,1264.08,11/17/2004 0:00,Shipped,Vintage Cars,24,Manchester,UK
"Australian Collectors, Co.",100,4815.3,11/29/2004 0:00,Shipped,Vintage Cars,21,Melbourne,Australia
Lyon Souveniers,100,4462.2,12-09-04 0:00,Shipped,Vintage Cars,30,Paris,France
Toys4GrownUps.com,94.79,3033.28,01-12-05 0:00,Resolved,Vintage Cars,32,Pasadena,USA
Euro Shopping Channel,47.18,990.78,2/16/2005 0:00,Shipped,Vintage Cars,21,Madrid,Spain
Mini Gifts Distributors Ltd.,78.11,2030.86,03-04-05 0:00,Shipped,Vintage Cars,26,San Rafael,USA
Mini Gifts Distributors Ltd.,100,5433.75,5/29/2005 0:00,In Process,Vintage Cars,35,San Rafael,USA
Motor Mint Distributors Inc.,100,3157.44,03-10-03 0:00,Shipped,Classic Cars,26,Philadelphia,USA
Atelier graphique,100,5161.2,5/20/2003 0:00,Shipped,Classic Cars,46,Nantes,France
Reims Collectables,100,4346.76,07-10-03 0:00,Shipped,Classic Cars,37,Reims,France
"Anna's Decorations, Ltd",100,3528.36,09-11-03 0:00,Shipped,Classic Cars,27,North Sydney,Australia
Heintze Collectables,100,3187.8,10/17/2003 0:00,Shipped,Classic Cars,23,Aaarhus,Denmark
Gift Depot Inc.,100,6023.16,11-05-03 0:00,Shipped,Classic Cars,39,Bridgewater,USA
Herkku Gifts,100,3884.76,11-12-03 0:00,Shipped,Classic Cars,27,Bergen,Norway
Online Diecast Creations Co.,100,4965.84,11/20/2003 0:00,Shipped,Classic Cars,38,Nashua,USA
Muscle Machine Inc,100,4169.88,12-02-03 0:00,Shipped,Classic Cars,27,NYC,USA
Euro Shopping Channel,100,4910.4,1/16/2004 0:00,Shipped,Classic Cars,40,Madrid,Spain
Collectable Mini Designs Co.,100,3231.36,2/26/2004 0:00,Shipped,Classic Cars,24,San Diego,USA
Mini Caravy,100,6853.44,4/13/2004 0:00,Shipped,Classic Cars,44,Strasbourg,France
"UK Collectables, Ltd.",100,5177.04,06-01-04 0:00,Cancelled,Classic Cars,37,Liverpool,UK
L'ordine Souveniers,100,2824.8,07-06-04 0:00,Shipped,Classic Cars,20,Reggio Emilia,Italy
Signal Gift Stores,100,4324.32,08-06-04 0:00,Shipped,Classic Cars,39,Las Vegas,USA
"Vida Sport, Ltd",100,5052.96,8/30/2004 0:00,Shipped,Classic Cars,44,Gensve,Switzerland
"Norway Gifts By Mail, Co.",100,3223.44,10-05-03 0:00,Shipped,Classic Cars,22,Oslo,Norway
Euro Shopping Channel,100,5278.68,10/16/2004 0:00,Shipped,Classic Cars,43,Madrid,Spain
FunGiftIdeas.com,100,2851.2,11-04-04 0:00,Shipped,Classic Cars,27,New Bedford,USA
Motor Mint Distributors Inc.,64.9,1687.4,11/17/2004 0:00,Shipped,Classic Cars,26,Philadelphia,USA
Reims Collectables,52.32,1308,11/24/2004 0:00,Shipped,Classic Cars,25,Reims,France
Royale Belge,100,6144.6,01-10-05 0:00,Shipped,Classic Cars,49,Charleroi,Belgium
Euro Shopping Channel,100,5127.2,02-10-05 0:00,Shipped,Classic Cars,29,Madrid,Spain
The Sharp Gifts Warehouse,100,6386.16,4/22/2005 0:00,On Hold,Classic Cars,41,San Jose,USA
Salzburg Collectables,100,7695.6,5/17/2005 0:00,Shipped,Classic Cars,55,Salzburg,Austria
Baane Mini Imports,83.07,2242.89,1/29/2003 0:00,Shipped,Vintage Cars,27,Stavern,Norway
"Volvo Model Replicas, Co",100,2539.89,3/24/2003 0:00,Shipped,Vintage Cars,23,Lule,Sweden
"Corrida Auto Replicas, Ltd",90.17,2795.27,5/28/2003 0:00,Shipped,Vintage Cars,31,Madrid,Spain
Souveniers And Things Co.,100,5545.76,7/16/2003 0:00,Shipped,Vintage Cars,46,Chatswood,Australia
"Dragon Souveniers, Ltd.",91.18,4285.46,9/19/2003 0:00,Shipped,Vintage Cars,47,Singapore,Singapore
Classic Legends Inc.,100,3329.09,10/20/2003 0:00,Shipped,Vintage Cars,31,NYC,USA
"Australian Gift Network, Co",100,5592.22,11-06-03 0:00,Shipped,Vintage Cars,46,South Brisbane,Australia
"Classic Gift Ideas, Inc",89.15,3298.55,11/13/2003 0:00,Shipped,Vintage Cars,37,Philadelphia,USA
"Australian Collectables, Ltd",93.21,2609.88,11/21/2003 0:00,Shipped,Vintage Cars,28,Glen Waverly,Australia
Canadian Gift Exchange Network,90.17,3336.29,12-05-03 0:00,Shipped,Vintage Cars,37,Vancouver,Canada
West Coast Collectables Co.,100,5510.05,1/29/2004 0:00,Shipped,Vintage Cars,49,Burbank,USA
Cambridge Collectables Co.,100,2504.4,03-10-04 0:00,Shipped,Vintage Cars,24,Cambridge,USA
Euro Shopping Channel,100,3525.6,4/29/2004 0:00,Shipped,Vintage Cars,30,Madrid,Spain
The Sharp Gifts Warehouse,88.14,4407,6/14/2004 0:00,Shipped,Vintage Cars,50,San Jose,USA
Souveniers And Things Co.,96.24,2983.44,7/19/2004 0:00,Shipped,Vintage Cars,31,Chatswood,Australia
Amica Models & Co.,100,5126.24,8/17/2004 0:00,Shipped,Vintage Cars,46,Torino,Italy
Scandinavian Gift Ideas,100,5713.79,09-08-04 0:00,Shipped,Vintage Cars,47,Boras,Sweden
Auto Assoc. & Cie.,100,4613.8,10-11-04 0:00,Shipped,Vintage Cars,46,Versailles,France
Mini Gifts Distributors Ltd.,100,3711.1,10/21/2004 0:00,Shipped,Vintage Cars,37,San Rafael,USA
Online Diecast Creations Co.,100,3524.73,11-04-04 0:00,Shipped,Vintage Cars,33,Nashua,USA
Mini Wheels Co.,90.17,2795.27,11/18/2004 0:00,Shipped,Vintage Cars,31,San Francisco,USA
"Australian Collectors, Co.",100,4814.4,11/29/2004 0:00,Shipped,Vintage Cars,48,Melbourne,Australia
Mini Gifts Distributors Ltd.,87.13,3572.33,12-10-04 0:00,Shipped,Vintage Cars,41,San Rafael,USA
Collectables For Less Inc.,100,4581.36,1/20/2005 0:00,Shipped,Vintage Cars,42,Brickhaven,USA
Corporate Gift Ideas Co.,100,4319.76,2/17/2005 0:00,Shipped,Vintage Cars,41,San Francisco,USA
"Anna's Decorations, Ltd",45.25,1448,03-09-05 0:00,Shipped,Vintage Cars,32,North Sydney,Australia
Petit Auto,88.14,881.4,5/30/2005 0:00,In Process,Vintage Cars,10,Bruxelles,Belgium
Baane Mini Imports,57.46,2011.1,1/29/2003 0:00,Shipped,Vintage Cars,35,Stavern,Norway
Mini Wheels Co.,64.33,1801.24,3/25/2003 0:00,Shipped,Vintage Cars,28,San Francisco,USA
